Nunca	Nunca	RN	nunca
este	este	DD0MS0	este
povo	povo	NCMS000	povo
esperou	esperou	VMIS3S0	esperar
q	que	CS	que
houvesse	houvesse	VMSI0S0	haver
qm	quem	PR0CN000	quem
tanto	tanto	RC	tanto
lhe	lhe	PP3CSD00	lhe
esplicasse	explicasse	VMSI0S0	explicar
a	a	DA0FS0	o
forca	força	NCFS000	força
dos	dos	SPS00+DA0MP0	de+o
bens	bens	NCMP000	bem
q	que	PR0CN000	que
nos	nos	SPS00+DA0FS0	em+os
resultão	resultam	VMIP3P0	resultar
da	da	SPS00+DA0FS0	de+o
N	nossa	DP1FSP	nosso
Constam	constituição	NCFS000	constituição
como	como	SPS00	como
V	Vossa	DP2FSP	vosso
Rma	Reverendíssima	AQSFS0	reverendo
no	no	SPS00+DA0MS0	em+o
Sermão	sermão	NCMS000	sermão
de	de	SPS00	de
hontem	ontem	RG	ontem
,	,	Fc	,
usando	usando	VMG0000	usar
de	de	SPS00	de
termos	termos	NCMP000	termo
os	os	DA0MP0	o
mais	mais	RC	mais
rasteiros	rasteiros	AQ0MP0	rasteiro
pa	para	SPS00	para
mor	melhor	RC	melhor
ser	ser	VSN0000	ser
entendo	entendido	VMP00SM	entender
por	por	SPS00	por
hum	um	DI0MS0	um
povo	povo	NCMS000	povo
rustico	rústico	AQ0MS0	rústico
como	como	CS	como
he	é	VSIP3S0	ser
o	o	DA0MS0	o
desta	desta	SPS00+DD0FS0	de+este
Va	vila	NCFS000	vila
	.	Fp	.
porem	Porém	RG	porém
	,	Fc	,
ainda	ainda	RG	ainda
lhe	lhe	PP3CSD00	lhe
faltou	faltou	VMIS3S0	faltar
com	com	SPS00	com
o	o	DA0MS0	o
melhor	melhor	RC	melhor
	,	Fc	,
q	que	PR0CN000	que
talvez	talvez	RG	talvez
omitisse	omitisse	VMSI0S0	omitir
por	por	SPS00	por
não	não	RN	não
ser	ser	VSN0000	ser
enfadonho	enfadonho	AQ0MS0	enfadonho
	,	Fc	,
e	e	CC	e
vem	vem	VMIP3S0	vir
a	a	SPS00	a
ser	ser	VSN0000	ser
o	o	DA0MS0	o
segte	seguinte	NCMS000	seguinte
	,	Fc	,
q	que	PR0CN000	que
espero	espero	VMIP1S0	esperar
vá	vá	VMSP0S0	ir
inserido	inserido	VMP00SM	inserir
na	na	SPS00+DA0FS0	em+o
oração	oração	NCFS000	oração
de	de	SPS00	de
amanhaã	amanhã	RG	amanhã
	.	Fp	.
Ora	Ora	RG	ora
asim	assim	RG	assim
como	como	CS	como
V	Vossa	DP2FSP	vosso
Rma	Reverendíssima	AQSFS0	reverendo
fez	fez	VMIS3S0	fazer
ver	ver	VMN0000	ver
ao	ao	SPS00+DA0MS0	a+o
povo	povo	NCMS000	povo
o	o	DA0MS0	o
modo	modo	NCMS000	modo
comüm	comum	AQ0CS0	comum
como	como	PA000000	como
seduz	seduz	VMIP3S0	seduzir
a	a	SPS00	a
entrar	entrar	VMN0000	entrar
nos	nos	SPS00+DA0MP0	em+o
da	da	SPS00+DA0FS0	de+o
N	nossa	DP1FSP	nosso
Constam	constituição	NCFS000	constituição
	,	Fc	,
por	por	SPS00	por
q	que	PR0CN000	que
não	não	RN	não
havia	havia	VMII0S0	haver
tambem	também	RG	também
admoestar	admoestar	VMN0000	admoestar
à	às	SPS00+DA0FP0	a+o
suas	Suas	DP3FP0	seu
Sas	Senhorias	NP00000	senhoria
q	que	CS	que
tal	tal	DD0CS0	tal
recomendação	recomendação	NCFS000	recomendação
lhe	lhe	PP3CSD00	lhe
fizerão	fizeram	VMIS3P0	fazer
q	que	CS	que
cumprão	cumpram	VMSP3P0	cumprir
bem	bem	RG	bem
com	com	SPS00	com
as	as	DA0FP0	o
funcoens	funções	NCFP000	função
do	do	SPS00+DA0MS0	de+o
ministerio	ministério	NCMS000	ministério
q	que	PR0CN000	que
se	se	P00CN000	se
lhes	lhes	PP3CPD00	lhe
confiou	confiou	VMIS3S0	confiar
