Joaquina	Joaquina	NP00000	joaquina
	.	Fp	.
ca	Cá	RG	cá
resebi	recebi	VMIS1S0	receber
a	a	DA0FS0	o
tua	tua	DP2FSS	teu
Carta	carta	NCFS000	carta
a	à	SPS00+DA0FS0	a+o
meia noite	meia-noite	NCFS000	meia-noite
	,	Fc	,
que	que	PR0CN000	que
chegou	chegou	VMIS3S0	chegar
a	a	DA0FS0	o
portador	portador	NCFS000	o
com	com	SPS00	com
ela	ela	PP3FS000	ele
de	de	SPS00	de
	,	Fc	,
q	que	PR0CN000	que
me	me	PP1CS000	me
deu	deu	VMIS3S0	dar
o	o	DA0MS0	o
gosto	gosto	NCMS000	gosto
chegar	chegar	VMN0000	chegar
por	por	SPS00	por
ainda	ainda	RG	ainda
tem	tem	VMIP3S0	ter
vida	vida	NCFS000	vida
	,	Fc	,
pois	pois	CS	pois
pelas	pelas	SPS00+DA0FP0	por+o
noticias	notícias	NCFP000	notícia
tão	tão	RC	tão
Sertas	certas	AQ0FP0	certas
q	que	PR0CN000	que
cá	cá	RG	cá
dei	dei	VMIS1S0	dar
a	a	DA0FS0	o
Compe	compadre	NCFS000	o
	,	Fc	,
Mataselhe	mata-se-lhe	VMIP3S0+P00CN000+PP3CSD00	matar+se+lhe
	.	Fp	.
mandarão	Mandaram	VMIS3P0	mandar
dar	dar	VMN0000	dar
dobrros	dobros	NCMP000	dobro
natras	noutras	SPS00+DA0FP0	em+o
freguezias	freguesias	NCFP000	freguesia
e	e	CC	e
lle	lhe	PP3CSD00	lhe
mandei	mandei	VMIS1S0	mandar
corer	correr	VMN0000	correr
a	a	DA0FS0	o
Campainha	campainha	NCFS000	o
	.	Fp	.
e	E	CC	e
todas	todas	DI0FP0	todo
os	os	DA0MP0	o
pesoas	pessoas	NCMP000	pessoa
de	de	SPS00	de
Bem	bem	RG	bem
	,	Fc	,
Co	com	SPS00	com
mtas	muitas	DI0FP0	muito
Lagrimas	lágrimas	NCFP000	lágrima
	,	Fc	,
me	me	PP1CS000	me
veerão	vieram	VMIS3P0	vir
dar	dar	VMN0000	dar
os	os	DA0MP0	o
sentimtos	sentimentos	NCMP000	sentimento
	.	Fp	.
eu	Eu	PP1CSN00	eu
estava	estava	VMII0S0	estar
esperando	esperando	VMG0000	esperar
a	a	DA0FS0	o
tua	tua	DP2FSS	teu
Resposta	resposta	NCFS000	resposta
pelo	pelo	SPS00+DA0MS0	por+o
Coreio	correio	NCMS000	correio
pa	para	SPS00	para
te	te	PP2CS000	te
ir	ir	VMN0000	ir
Buscar	buscar	VMN0000	buscar
na	na	SPS00+DA0FS0	em+o
terca feira	terça-feira	NCFS000	terça-feira
e	e	CC	e
Levar	levar	VMN0000	levar
de	de	SPS00	de
cá	cá	RG	cá
quatro	quatro	Z	quatro
ou	ou	CC	ou
sinco	cinco	Z	cinco
Bestas	bestas	NCFP000	besta
	,	Fc	,
mas	mas	CC	mas
	,	Fc	,
como	como	CS	como
vejo	vejo	VMIP1S0	ver
a	a	DA0FS0	o
comtrario	contrário	NCFS000	o
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
se	se	P00CN000	se
tem	tem	VAIP3S0	ter
dito	dito	VMP0000	dizer
	,	Fc	,
o	o	DA0MS0	o
portador	portador	NCMS000	portador
não	não	RN	não
quer	quer	VMIP3S0	querer
ter	ter	VMN0000	ter
demora	demora	NCFS000	demora
	.	Fp	.
em	Em	SPS00	em
amanhesendo	amanhecendo	VMG0000	amanhecer
	,	Fc	,
lerei	lerei	VMIF1S0	ler
Bem	bem	RG	bem
a	a	DA0FS0	o
Carta	carta	NCFS000	carta
e	e	CC	e
a	à	SPS00+DA0FS0	a+o
Vista	vista	NCFS000	vista
dela	dela	SPS00+PP3FS000	de+ele
Rezolveri	resolverei	VMIF1S0	resolver
	.	Fp	.
Sou	Sou	Fp	.
teu	teu	Fp	.
marido	marido	Fp	.
do	do	Fp	.
C	coração	Fp	.
	.	Fp	.
Manoel	Manuel	Fp	.
Madra	Madeira	Fp	.
fazeme	Faz-me	VMIP3S0+PP1CS000	fazer+me
mtas	muitas	PI0FP000	muito
vezeas	vezeas	PI0FP000	muito
a	a	SPS00	a
todos	todos	PI0MP000	todo
da	da	SPS00+DA0FS0	de+o
ma	minha	DP1FSS	meu
parte	parte	NCFS000	parte
	.	Fp	.
aDeos	Adeus	I	adeus
	.	Fp	.
