Juis de Fora	Juiz-de-Fora	NP00000	juiz-de-fora
Reconhecendo	Reconhecendo	VMG0000	reconhecer
alguma	alguma	DI0FS0	algum
obrigação	obrigação	NCFS000	obrigação
de	de	SPS00	de
alguns	alguns	DI0MP0	algum
,	,	Fc	,
e	e	CC	e
Comviniencia	conveniência	NCFS000	conveniência
de	de	SPS00	de
todos	todos	PI0MP000	todo
em	em	SPS00	em
partes	partes	NCFP000	parte
,	,	Fc	,
a	a	SPS00	a
VSa	VSa	NP00000	VSa
vou	vou	VMIP1S0	ir
a	a	SPS00	a
partecipar	participar	VMN0000	participar
o	o	DA0MS0	o
Seguinte	seguinte	NCMS000	seguinte
.	.	Fp	.
Sr	Senhor	NP00000	senhor
	,	Fc	,
Como	como	CS	como
Vsa	VSa	NP00000	VSa
tem	tem	VMIP3S0	ter
Recomendado	recomendado	VMP00SM	recomendar
a	a	SPS00	a
mais	mais	RC	mais
EZata	exata	AQ0FS0	exato
deligca	diligência	NCFS000	diligência
pa	para	SPS00	para
ser	ser	VSN0000	ser
prezo	preso	VMP00SM	prender
o	o	DA0MS0	o
Estevão	Estêvão	NP00000	estêvão
Longo	Longo	NP00000	longo
do	do	SPS00+DA0MS0	de+o
Citio	sítio	NCMS000	sítio
de	de	SPS00	de
Arra	Arra	NP00000	Arra
,	,	Fc	,
fazendo	fazendo	VMG0000	fazer
eu	eu	PP1CSN00	eu
a	a	SPS00	a
mais	mais	RC	mais
firme	firme	AQ0CS0	firme
avirgoação	averiguação	NCFS000	averiguação
pa	para	SPS00	para
se	se	CS	se
conseguir	conseguir	VMN0000	conseguir
este	este	DD0MS0	este
fim	fim	NCMS000	fim
	,	Fc	,
diz-me	diz-me	VMIP3S0+PP1CS000	dizer+me
agora	agora	RG	agora
Manoel	Manuel	NP00000	manuel
Carraiolla	Carraiola	NP00000	carraiola
	,	Fc	,
fo	filho	NCMS000	filho
do	do	SPS00+DA0MS0	de+o
Almocreve	almocreve	NCMS000	almocreve
Martinho	Martinho	NP00000	martinho
de	de	SPS00	de
souza	Sousa	NP00000	sousa
aqui	aqui	RG	aqui
desta	desta	SPS00+DD0FS0	de+este
Aldeia	aldeia	NCFS000	aldeia
	,	Fc	,
q	que	CS	que
agora	agora	RG	agora
chegara	chegara	VMIM0S0	chegar
de	de	SPS00	de
huma	uma	DI0FS0	um
Jornada	jornada	NCFS000	jornada
do	do	SPS00+DA0MS0	de+o
Álem tejo	Alentejo	NP00000	alentejo
,	,	Fc	,
que	que	CS	que
lá	lá	RG	lá
	,	Fc	,
encontrando-se	encontrando-se	VMG0000+P00CN000	encontrar+se
com	com	SPS00	com
outros	outros	DI0MP0	outro
Almocreves	almocreves	NCMP000	almocreve
do	do	SPS00+DA0MS0	de+o
Termo	termo	NCMS000	termo
de	de	SPS00	de
Lole	Loulé	NP00000	loulé
,	,	Fc	,
que	que	CS	que
lhe	lhe	PP3CSD00	lhe
dicerão	disseram	VMIS3P0	dizer
q	que	CS	que
de	de	SPS00	de
serta	certa	AQ0FS0	certo
feira	feira	NCFS000	feira
do	do	SPS00+DA0MS0	de+o
Alemtejo	Alentejo	NP00000	alentejo
agora	agora	RG	agora
proximo	próximo	NCMS000	próximo
que	que	PR0CN000	que
venhão	vinham	VMII3P0	vir
3	3	Z	3
Espanhoins	espanhóis	NCMP000	espanhol
	,	Fc	,
que	que	CS	que
ficando	ficando	VMG0000	ficar
hum	um	DI0MS0	um
dos	dos	SPS00+DA0MP0	de+o
mesmos	mesmos	AQ0MP0	mesmo
mais	mais	CC	mais
atras	atrás	RG	atrás
,	,	Fc	,
lhe	lhe	PP3CSD00	lhe
sahirão	saíram	VMIS3P0	sair
3	3	Z	3
o	ou	CC	ou
4	4	Z	4
Ladroins	ladrões	NCMP000	ladrão
	.	Fp	.
que	Que	CS	que
este	este	DD0MS0	este
Espanhol	espanhol	NCMS000	espanhol
	,	Fc	,
metendo	metendo	VMG0000	meter
mão	mão	NCFS000	mão
a	a	SPS00	a
huma	uma	DI0FS0	um
Cravina	cravina	NCFS000	cravina
	,	Fc	,
derão	deram	VMIS3P0	dar
hum	um	DI0MS0	um
tiro	tiro	NCMS000	tiro
em	em	SPS00	em
hum	um	DI0MS0	um
do	do	SPS00+DA0MS0	de+o
dos	ditos	NCMP000	de+o
Ladroins	ladrões	NCMP000	ladrão
,	,	Fc	,
que	que	CS	que
quebrara	quebrara	VMIM0S0	quebrar
logo	logo	RG	logo
hum	um	DI0MS0	um
braço	braço	NCMS000	braço
o	ao	SPS00+DA0MS0	a+o
pé	pé	NCMS000	pé
d	de	SPS00	de
aonde	onde	PA000000	onde
já	já	RG	já
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
braço	braço	NCMS000	braço
antigamte	antigamte	RG	antigamte
tinha	tinha	VAII0S0	ter
sido	sido	VSP0000	ser
quebrado	quebrado	VMP00SM	quebrar
,	.	Fp	.
e	E	CC	e
que	que	CS	que
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Espanhol	espanhol	NCMS000	espanhol
se	se	CS	se
desera	descera	VMIP3S0	descerar
Logo	logo	RG	logo
pa	para	SPS00	para
se	se	CS	se
defender	defender	VMN0000	defender
dos	dos	SPS00+DA0MP0	de+o
mais	mais	RC	mais
	.	Fp	.
ao	Ao	SPS00+DA0MS0	a+o
mesmo	mesmo	AQ0MS0	mesmo
tempo	tempo	NCMS000	tempo
	,	Fc	,
os	os	DA0MP0	o
dois	dois	Z	dois
Espanhois	espanhóis	NCMP000	espanhol
q	que	PR0CN000	que
adiante	adiante	RG	adiante
hião	iam	VMII3P0	ir
	,	Fc	,
Logo	logo	RG	logo
q	que	CS	que
houvirão	ouviram	VMIS3P0	ouvir
o	o	DA0MS0	o
tiro	tiro	NCMS000	tiro
	,	Fc	,
voltarão	voltaram	VMIS3P0	voltar
atras	atrás	RG	atrás
a	à	SPS00+DA0FS0	a+o
defilada	desfilada	VMP00SF	desfilar
nos	nos	SPS00+DA0MP0	em+o
Cavallos	cavalos	NCMP000	cavalo
,	.	Fp	.
e	E	CC	e
q	que	CS	que
chegando	chegando	VMG0000	chegar
ahi	aí	RG	aí
aonde	onde	PA000000	onde
aquelles	aqueles	DD0MP0	aquele
estavão	estavam	VMII3P0	estar
	,	Fc	,
q	que	CS	que
prenderão	prenderam	VMIS3P0	prender
todos	todos	DI0MP0	todo
os	os	DA0MP0	o
Ladroins	ladrões	NCMP000	ladrão
e	e	CC	e
os	os	PP3MSA00	o
Levarão	levaram	VMIS3P0	levar
prezos	presos	NCMP000	preso
pa	para	SPS00	para
a	a	DA0FS0	o
Cadeia	cadeia	NCFS000	cadeia
De	de	SPS00	de
Alvito	Alvito	NP00000	alvito
dando	dando	VMG0000	dar
parte	parte	NCFS000	parte
ao	ao	SPS00+DA0MS0	a+o
Sr	Senhor	NP00000	senhor
Menistro	ministro	NCMS000	ministro
dahi	daí	SPS00+RG	de+aí
,	.	Fp	.
e	E	CC	e
q	que	CS	que
despois	depois	RG	depois
	,	Fc	,
aparesendo	aparecendo	VMG0000	aparecer
os	os	DA0MP0	o
dos	ditos	VMP00PM	dizer
Almocreves	almocreves	NCMP000	almocreve
	,	Fc	,
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Menistro	ministro	NCMS000	ministro
os	os	DA0MP0	o
mandara	mandara	VMIM0S0	mandar
chamar	chamar	VMN0000	chamar
e	e	CC	e
os	os	DA0MP0	o
mandara	mandara	VMIM0S0	mandar
Levar	levar	VMN0000	levar
a	à	SPS00+DA0FS0	a+o
Cadeia	cadeia	NCFS000	cadeia
pa	para	SPS00	para
Conheserem	conhecerem	VMII3P0	conhecer
os	os	DA0MP0	o
dos	ditos	VMP00PM	dizer
Ladroins	ladrões	NCMP000	ladrão
	.	Fp	.
mãs	Mas	CC	mas
os	os	DA0MP0	o
dos	ditos	VMP00PM	dizer
Almocreves	almocreves	NCMP000	almocreve
	,	Fc	,
q	que	PR0CN000	que
deserão	disseram	VMIS3P0	dizer
na	na	SPS00+DA0FS0	em+o
Cadeia	cadeia	NCFS000	cadeia
q	que	CS	que
não	não	RN	não
Conhecião	conheciam	VMIC3P0	conhecer
os	os	DA0MP0	o
dos	ditos	VMP00PM	dizer
Ladroins	ladrões	NCMP000	ladrão
,	.	Fp	.
e	E	CC	e
despois	depois	RG	depois
	,	Fc	,
q	que	CS	que
o	o	DA0MS0	o
mesmo	mesmo	RG	mesmo
forão	foram	VMIS3P0	ir
dezer	dizer	VMN0000	dizer
ao	ao	SPS00+DA0MS0	a+o
do	dito	VMP00SM	dizer
Menistro	ministro	NCMS000	ministro
por	por	SPS00	por
cauza	causa	NCFS000	causa
de	de	SPS00	de
temerem	temerem	NCFS000	temerem
o	o	DA0MS0	o
futuro	futuro	NCMS000	futuro
,	.	Fp	.
mãs	Mas	CC	mas
q	que	CS	que
despois	depois	RG	depois
diserão	disseram	VMIS3P0	dizer
aquelle	àquele	SPS00+DD0MS0	a+aquele
fo	filho	NCMS000	filho
do	do	SPS00+DA0MS0	de+o
Martinho	Martinho	NP00000	martinho
e	e	CC	e
outros	outros	DI0MP0	outro
Camaradas	camaradas	NCMP000	camarada
Almocreves	almocreves	AQ0CP0	almocreve
q	que	PR0CN000	que
elles	eles	SPS00+PP3MP000	de+ele
Conhecerão	conheceram	VMIS3P0	conhecer
os	os	DA0MP0	o
Ladroins	ladrões	NCMP000	ladrão
,	,	Fc	,
e	e	CC	e
que	que	CS	que
hum	um	DI0MS0	um
delles	deles	SPS00+PP3MP000	de+ele
q	que	CS	que
tinha	tinha	VAII0S0	ter
o	o	DA0MS0	o
braço	braço	NCMS000	braço
quebrado	quebrado	VMP00SM	quebrar
q	que	CS	que
hera	era	VSII0S0	ser
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Estevão	Estêvão	NP00000	estêvão
Longo	Longo	NP00000	longo
	,	Fc	,
que	que	CS	que
aos	aos	SPS00+DA0MP0	a+o
quais	quais	PR0CP000	qual
lhe	lhe	PP3CSD00	lhe
tinhão	tinham	VAII3P0	ter
achado	achado	VMP0000	achar
mtas	muitas	DI0FP0	muito
Gazüas	gazuas	NCFP000	gazua
e	e	CC	e
outras	outras	DI0FP0	outro
Couzas	coisas	NCFP000	coisa
.	.	Fp	.
hora	Ora	RG	ora
agora	agora	RG	agora
	,	Fc	,
procurando	procurando	VMG0000	procurar
eu	eu	PP1CSN00	eu
a	a	SPS00	a
este	este	DD0MS0	este
q	que	CS	que
me	me	PP1CS000	me
disse	disse	VMIS3S0	dizer
isto	isto	PD0NN000	isto
os	os	PP3MPA00	o
Nomes	nomes	NCMP000	nome
dos	dos	SPS00+DA0MP0	de+o
dos	ditos	VMP00PM	dizer
Almocreves	almocreves	NCMP000	almocreve
,	,	Fc	,
se	se	CS	se
mostrou	mostrou	VMIS3S0	mostrar
tãobem	também	RG	também
Receár-se	recear-se	VMN0000+P00CN000	recear+se
dezello	dizê-lo	VMN0000+PP3MSA00	recear+se
,	,	Fc	,
mãs	mas	CC	mais
que	que	CS	que
procurasem	procurassem	VMSI3P0	procurar
o	o	DA0MS0	o
fo	filho	NCMS000	filho
do	do	SPS00+DA0MS0	de+o
Mathezinho	Matezinho	NP00000	matezinho
do	do	SPS00+DA0MS0	de+o
Citio	sítio	NCMS000	sítio
da	da	SPS00+DA0FS0	de+o
Goldra	Goldra	NP00000	Goldra
