Senhora	Senhora		
LoCadia	Leocádia		
do	do		
Espirito	Espírito		
Santo	Santo		
	.		
di	Daí	SPS00+RG	de+aí
me	me	PP1CS000	me
pode	pode	VMIP3S0	poder
dizer	dizer	VMN0000	dizer
o	o	DA0MS0	o
Cuanto	quanto	PA000000	quanto
vale	vale	VMIP3S0	valer
esse	esse	DD0MS0	esse
Borgonha	vergonha	NCMS000	vergonha
de	de	SPS00	de
Estar	estar	VMN0000	estar
nessas	nessas	SPS00+DD0FP0	em+esse
Cazas	casas	NCFP000	casa
	,	Fc	,
apezar	apesar	SPS00	apesar
de	de	SPS00	de
poder	poder	VMN0000	poder
Estar	estar	VMN0000	estar
desCanssada	descansada	VMP00SF	descansar
por	por	SPS00	por
não	não	RN	não
lhe	lhe	PP3CSD00	lhe
iren	irem	VMII3P0	ir
Embargar	embargar	VMN0000	embargar
a	a	DA0FS0	o
renda	renda	NCFS000	renda
por	por	SPS00	por
via	via	NCFS000	via
da	da	SPS00+DA0FS0	de+o
de	de	SPS00	de
Çima	cima	RG	cima
	.	Fp	.
pois	Pois	CS	pois
tamben	também	RG	também
lhe	lhe	PP3CSD00	lhe
posso	posso	VMIP1S0	poder
dizer	dizer	VMN0000	dizer
Cuanto	quanto	PA000000	quanto
me	me	PP1CS000	me
Custou	custou	VMIS3S0	custar
tudo	tudo	PI0NN000	tudo
Cuanto	quanto	PA000000	quanto
me	me	PP1CS000	me
fes	fez	VMIS3S0	fazer
	,	Fc	,
pois	pois	CS	pois
tendoa	tendo-a	VMG0000+PP3FSA00	ter+o
Em	em	SPS00	em
minha	minha	DP1FSS	meu
Caza	casa	NCFS000	casa
i	e	CC	e
fazendo	fazendo	VMG0000	fazer
de	de	SPS00	de
Vmce	VM	NP00000	VM
toda	toda	DI0FS0	todo
Confialdade	confiabilidade	NCFS000	confiabilidade
Em	em	SPS00	em
que	que	CS	que
Vmce	VM	NP00000	VM
Seria	seria	VSIC0S0	ser
Capas	capaz	AQ0CS0	capaz
de	de	SPS00	de
me	me	PP1CS000	me
conresponder	corresponder	VMN0000	corresponder
Como	como	CS	como
deVia	devia	VMII0S0	dever
	,	Fc	,
Con	com	SPS00	com
tudo	tudo	PI0NN000	tudo
Cuanto	quanto	PA000000	quanto
e	e	CC	e
Cuanto	quanto	PA000000	quanto
he	é	VSIP3S0	ser
meu	meu	PX1MS0S0	meu
	,	Fc	,
i	e	CC	e
de	de	SPS00	de
não	não	RN	não
se	se	P00CN000	se
auzentar	ausentar	VMN0000	ausentar
de	de	SPS00	de
minha	minha	DP1FSS	meu
Caza	casa	NCFS000	casa
	,	Fc	,
Cuando	quando	CS	quando
Eu	eu	PP1CSN00	eu
Estaba	estava	VMII0S0	estar
fazendo	fazendo	VMG0000	fazer
huma	uma	DI0FS0	um
despeza	despesa	NCMS000	despesa
grande	grande	AQ0CS0	grande
Con	com	SPS00	com
Vmce	VM	NP00000	VM
i	e	CC	e
Vmce	VM	NP00000	VM
me	me	PP1CS000	me
desafiou	desafiou	VMIS3S0	desafiar
Cuando	quando	CS	quando
prinçipinemos	principiemos	VMSP1P0	principiar
a	a	SPS00	a
tratar	tratar	VMN0000	tratar
q	que	CS	que
á	há	VMIP3S0	haver
Cuatro	quatro	Z	quatro
anos	anos	NCMP000	ano
i	e	CC	e
nunCa	nunca	RN	nunca
faltii	faltei	VMIS1S0	faltar
Con	com	SPS00	com
tudo	tudo	PI0NN000	tudo
o	o	DA0MS0	o
q	que	PR0CN000	que
pormetera	prometera	VMIM0S0	prometer
	,	Fc	,
nin	nem	CCN	nem
faltaria	faltaria	VMIC0S0	faltar
ate	até	SPS00	até
a	à	SPS00+DA0FS0	a+o
morte	morte	NCFS000	morte
	.	Fp	.
i	E	CC	e
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
Cazo	caso	NCMS000	caso
q	que	PR0CN000	que
não	não	RN	não
fosse	fosse	VSSI0S0	ser
Vmce	VM	NP00000	VM
Capas	capaz	AQ0CS0	capaz
de	de	SPS00	de
Conprir	cumprir	VMN0000	cumprir
o	o	DA0MS0	o
q	que	PR0CN000	que
pormeteo	prometeu	VMIS3S0	prometer
i	e	CC	e
querendo	querendo	VMG0000	querer
Vmce	VM	NP00000	VM
auzentarssese	ausentar-se	VMN0000+P00CN000	ausentar+se
di	de	SPS00	de
min	mim	PP1CSO00	mim
	,	Fc	,
deVia	devia	VMII0S0	dever
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
por	por	SPS00	por
outor	outro	DI0MS0	outro
modo	modo	NCMS000	modo
i	e	CC	e
Emtregar	entregar	VMN0000	entregar
Cuanto	quanto	PA000000	quanto
Eu	eu	PP1CSN00	eu
tinha	tinha	VAII0S0	ter
Conprado	comprado	VMP0000	comprar
	,	Fc	,
huma	uma	DI0FS0	um
Vés	vez	NCFS000	vez
q	que	CS	que
auzenÇia	ausência	NCFS000	ausência
era	era	VSII0S0	ser
por	por	SPS00	por
VaÇemece	vossemecê	PP3CS000	vossemcecê
	,	Fc	,
pois	pois	CS	pois
tudo	tudo	PI0NN000	tudo
me	me	PP1CS000	me
custou	custou	VMIS3S0	custar
a	a	SPS00	a
meu	meu	DP1MSS	meu
suor	suor	NCMS000	suor
	.	Fp	.
mais	Mas	CC	mas
como	como	CS	como
Vmce	VM	NP00000	VM
ten	tem	VMIP3S0	ter
curaÇão	coração	NCMS000	coração
de	de	SPS00	de
Bronze	bronze	NCMS000	bronze
i	e	CC	e
o	o	DA0MS0	o
meu	meu	PX1MS0S0	meu
	,	Fc	,
Sendo	sendo	VSG0000	ser
mais	mais	RC	mais
massio	macio	AQ0MS0	macio
	,	Fc	,
he	é	VSIP3S0	ser
a	a	DA0FS0	o
Cauza	causa	NCFS000	causa
por	por	SPS00	por
q	que	PR0CN000	que
Eu	eu	PP1CSN00	eu
tenho	tenho	VAIP1S0	ter
passado	passado	VMP0000	passar
tamanha	tamanha	AQ0FS0	tamanho
vorgonhas	vergonhas	NCFP000	vergonha
i	e	CC	e
perder	perder	VMN0000	perder
o	o	DA0MS0	o
meu	meu	DP1MSS	meu
Comado	comando	NCMS000	comando
	.	Fp	.
i	E	CC	e
Vmce	VM	NP00000	VM
he	é	VSIP3S0	ser
q	que	CS	que
me	me	PP1CS000	me
ten	tem	VMIP3S0	ter
a	a	DA0FS0	o
Culpa	culpa	NCFS000	culpa
	.	Fp	.
i	E	CC	e
Si	se	CS	se
Eu	eu	PP1CSN00	eu
fosse	fosse	VSSI0S0	ser
de	de	SPS00	de
tan	tão	RC	tão
máo	mau	AQ0MS0	mau
coraÇão	coração	NCMS000	coração
	,	Fc	,
Como	como	CS	como
Vmce	VM	NP00000	VM
he	é	VSIP3S0	ser
	,	Fc	,
munto	muito	RQ	muito
maís	mais	RC	mais
Emfelis	infeliz	AQ0CS0	infeliz
a	a	PP3FSA00	o
aVia	havia	VMII0S0	haver
de	de	SPS00	de
fazer	fazer	VMN0000	fazer
	.	Fp	.
mais	Mas	CC	mas
	,	Fc	,
Se	se	CS	se
Vmce	VM	NP00000	VM
me	me	PP1CS000	me
falar	falar	VMN0000	falar
a	à	SPS00+DA0FS0	a+o
grade	grade	NCFS000	grade
os	aos	SPS00+DA0MP0	a+o
domingos	domingos	NP00000	domingos
	,	Fc	,
Eu	eu	PP1CSN00	eu
sso	sou	VSIP1S0	ser
o	o	DA0MS0	o
propio	próprio	AQ0MS0	próprio
q	que	CS	que
a	a	PP3FSA00	o
ha	há	VMIP3S0	haver
de	de	SPS00	de
Botar	botar	VMN0000	botar
fora	fora	RG	fora
	.	Fp	.
i	E	CC	e
Cuando	quando	CS	quando
issi	assim	RG	assim
não	não	RN	não
Seja	seja	VSSP0S0	ser
	,	Fc	,
Em	em	SPS00	em
q	que	CS	que
gaste	gaste	VMSP0S0	gastar
tudo	tudo	PI0NN000	tudo
	,	Fc	,
he	é	VSIP3S0	ser
de	de	SPS00	de
Levar	levar	VMN0000	levar
a	o	DA0MS0	o
Coiza	coisa	NCFS000	coisa
a	à	SPS00+DA0FS0	a+o
risCa	risca	NCFS000	risca
	,	Fc	,
porq	porque	CS	porque
Eu	eu	PP1CSN00	eu
nunCa	nunca	RN	nunca
lhe	lhe	PP3CSD00	lhe
faltei	faltei	VMIS1S0	faltar
Con	com	SPS00	com
Coiza	coisa	NCFS000	coisa
alguma	alguma	DI0FS0	algum
i	e	CC	e
tinhalhe	tinha-lhe	VMII0S0+PP3CSD00	ter+lhe
grande	grande	AQ0CS0	grande
amizade	amizade	NCFS000	amizade
	,	Fc	,
Como	como	CS	como
a	o	DA0MS0	o
pessoa	pessoa	NCFS000	pessoa
nihuma	nenhuma	PI0FS00N	nenhum
deste	deste	SPS00+DD0MS0	de+este
mundo	mundo	NCMS000	mundo
poderei	poderei	VMIF1S0	poder
ter	ter	VMN0000	ter
Em	em	SPS00	em
tenpo	tempo	NCMS000	tempo
algun	algum	DI0MS0	algum
	!	Fa	!
i	E	CC	e
Vmce	VM	NP00000	VM
abuzando	abusando	VMG0000	abusar
de	de	SPS00	de
minha	minha	DP1FSS	meu
Caza	casa	NCFS000	casa
Con	com	SPS00	com
hesse	esse	DD0MS0	esse
home	homem	NCMS000	homem
	...	Fs	...
pois	Pois	CS	pois
antes	antes	RG	antes
queria	queria	VMII0S0	querer
q	que	CS	que
me	me	PP1CS000	me
mataSé	matasse	VMSI0S0	matar
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
tal	tal	PD0CS000	tal
fizesse	fizesse	VMSI0S0	fazer
	,	Fc	,
mais	mas	RC	mais
Vmce	VM	NP00000	VM
fes	fez	VMIS3S0	fazer
o	o	DA0MS0	o
sseu	seu	DP3MS0	seu
gosto	gosto	NCMS000	gosto
	,	Fc	,
pois	pois	CS	pois
antes	antes	RG	antes
Eu	eu	PP1CSN00	eu
moresse	morresse	VMSI0S0	morrer
de	de	SPS00	de
huma	uma	DI0FS0	um
faCada	facada	NCFS000	facada
ou	ou	CC	ou
de	de	SPS00	de
hum	um	DI0MS0	um
tiro	tiro	NCMS000	tiro
	,	Fc	,
do	do	SPS00+DA0MS0	de+o
q	que	PR0CN000	que
Cuan	quando	CS	quando
Eu	eu	PP1CSN00	eu
a	a	PP3FSA00	o
ConheÇi	conheci	VMIS1S0	conhecer
	.	Fp	.
não	Não	RN	não
por	por	SPS00	por
Eu	eu	PP1CSN00	eu
não	não	RN	não
gostar	gostar	VMN0000	gostar
de	de	SPS00	de
Vmce	VM	NP00000	VM
	,	Fc	,
nin	nem	CCN	nem
por	por	SPS00	por
me	me	PP1CS000	me
aboreÇer	aborrecer	VMN0000	aborrecer
de	de	SPS00	de
Vmce	VM	NP00000	VM
	,	Fc	,
q	que	CS	que
nunca	nunca	RN	nunca
me	me	PP1CS000	me
aboreÇeria	aborreceria	VMIC0S0	aborrecer
	,	Fc	,
nin	nem	CCN	nem
por	por	SPS00	por
gostar	gostar	VMN0000	gostar
con	com	SPS00	com
Vmce	VM	NP00000	VM
	.	Fp	.
So	Só	RF	só
por	por	SPS00	por
não	não	RN	não
me	me	PP1CS000	me
ter	ter	VMN0000	ter
Vmce	VM	NP00000	VM
amizade	amizade	NCFS000	amizade
Como	como	CS	como
Eu	eu	PP1CSN00	eu
lhe	lhe	PP3CSD00	lhe
tinha	tinha	VMII0S0	ter
	,	Fc	,
i	e	CC	e
aimda	ainda	RG	ainda
não	não	RN	não
lha	lha	PP3CSD00+PP3FSA00	lhe+o
perdi	perdi	VMIS1S0	perder
de	de	SPS00	de
