Hoje	Hoje	RG	hoje
	,	Fc	,
20	20	Z	20
de	de	SPS00	de
outbro	outubro	NCMS000	outubro
de	de	SPS00	de
1824	1824	Z	1824
Chaves	Chaves	NP00000	chaves
Illlmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Benigo	Benigno	AQ0MS0	benigno
Snr	Senhor	NP00000	senhor
	,	Fc	,
Eu	eu	PP1CSN00	eu
estimo	estimo	VMIP1S0	estimar
q	que	CS	que
VSa	VSa	NP00000	VSa
tenha	tenha	VMSP0S0	ter
Saude	saúde	NCFS000	saúde
em	em	SPS00	em
compa	companhia	NCFS000	companhia
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
Snra	Senhora	NP00000	senhor
e	e	CC	e
tudo	tudo	PI0NN000	tudo
seus	seus	DP3MP0	seu
meninos	meninos	NCMP000	menino
	,	Fc	,
tudo	tudo	PI0NN000	tudo
mais	mais	RC	mais
q	que	CS	que
dezejar	desejar	VMN0000	desejar
	,	Fc	,
pois	pois	CS	pois
Eu	eu	PP1CSN00	eu
fico	fico	VMIP1S0	ficar
pronto	pronto	AQ0MS0	pronto
pa	para	SPS00	para
tudo	tudo	PI0NN000	tudo
q	que	PR0CN000	que
VSa	VSa	NP00000	VSa
detreminar	determinar	VMN0000	determinar
	.	Fp	.
Illlmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
	,	Fc	,
Sebera	Saberá	VMIF3S0	saber
q	que	CS	que
chegui	cheguei	VMIS1S0	chegar
a	a	SPS00	a
esta	esta	DD0FS0	este
tera	terra	NCFS000	terra
mais	mais	CC	mais
meus	meus	DP1MPS	meu
Camaradas	camaradas	NCMP000	camarada
	,	Fc	,
aonde	onde	PA000000	onde
aReÇebi	recebi	VMIS1S0	receber
huma	uma	DI0FS0	um
Carta	carta	NCFS000	carta
de	de	SPS00	de
hum	um	DI0MS0	um
primo	primo	NCMS000	primo
meu	meu	DP1MSS	meu
em	em	SPS00	em
q	que	PR0CN000	que
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
prezo	preso	AQ0MSP	preso
na	na	SPS00+DA0FS0	em+o
cada	Cadeia	NP00000	cadeia
nova	Nova	NP00000	nova
da	da	SPS00+DA0FS0	de+o
Corte	Corte	NP00000	corte
no	no	SPS00+DA0MS0	em+o
Limoeiro	Limoeiro	NP00000	limoeiro
em	em	SPS00	em
Lisboa	Lisboa	NP00000	lisboa
	,	Fc	,
aonde	onde	PA000000	onde
me	me	PP1CS000	me
manda	manda	VMIP3S0	mandar
pedir	pedir	VMN0000	pedir
