Sr	Senhor	NP00000	senhor
	,	Fc	,
como	como	CS	como
tenho	tenho	VMIP1S0	ter
conhecido	conhecido	VMP00SM	conhecer
em	em	SPS00	em
Vmce	VM	NP00000	VM
provas	provas	NCFP000	prova
de	de	SPS00	de
Ao	amigo	NCMS000	amigo
	,	Fc	,
he	é	VSIP3S0	ser
a	a	DA0FS0	o
rezão	razão	NCFS000	razão
por	por	SPS00	por
que	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
tenho	tenho	VAIP1S0	ter
comonicado	comunicado	VMP0000	comunicar
algumas	algumas	DI0FP0	algum
couzas	coisas	NCFP000	coisa
qual	qual	PR0CN000	qual
he	é	VSIP3S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
ja	já	RG	já
temos	temos	VMIP1P0	ter
tratado	tratado	VMP0000	tratar
	.	Fp	.
e	E	CC	e
agora	agora	RG	agora
he	é	VSIP3S0	ser
o	o	DA0MS0	o
seguinte	seguinte	NCMS000	seguinte
	.	Fp	.
No	No	SPS00+DA0MS0	em+o
tempo	tempo	NCMS000	tempo
q	que	PR0CN000	que
Vmce	VM	NP00000	VM
estava	estava	VMII0S0	estar
com	com	SPS00	com
D	Domingos	NP00000	domingos
A	Alves	NP00000	alves
G	Guedes	NP00000	guedes
	,	Fc	,
vmce	VM	NP00000	VM
hera	era	VSII0S0	ser
o	o	DA0MS0	o
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
fazia	fazia	VMII0S0	fazer
os	os	DA0MP0	o
asentos	assentos	NCMP000	assento
	.	Fp	.
e	E	CC	e
como	como	SPS00	como
Vmce	VM	NP00000	VM
asentaria	assentaria	NCFS000	assentaria
ou	ou	CC	ou
faria	faria	VMIC0S0	fazer
mencão	menção	NCFS000	menção
	,	Fc	,
no	no	SPS00+DA0MS0	em+o
livro	livro	NCMS000	livro
	,	Fc	,
daquela	daquela	SPS00+DD0FS0	de+aquele
obrigacão	obrigação	NCFS000	obrigação
da	da	SPS00+DA0FS0	de+o
letra	letra	NCFS000	letra
q	que	PR0CN000	que
lhe	lhe	PP3CSD00	lhe
emprestei	emprestei	VMIS1S0	emprestar
de	de	SPS00	de
2	2	Z	2
e	e	CC	e
tanto	tanto	RC	tanto
e	e	CC	e
a	a	SPS00	a
outra	outra	DI0FS0	outro
de	de	SPS00	de
8:500$	8:500$	Z	8:500$
	,	Fc	,
não	não	RN	não
esta	está	VMIP3S0	estar
la	lá	RG	lá
asente	assente	VMP00SM	assentar
e	e	CC	e
nem	nem	CC	nem
apontada	apontada	VMP00SF	apontar
	.	Fp	.
a	A	SPS00	a
isto	isto	PD0NN000	isto
responderá	responderá	VMIF3S0	responder
Vmce	VM	NP00000	VM
q	que	CS	que
se	se	P00CN000	se
asentou	assentou	VMIS3S0	assentar
a	a	DA0FS0	o
primra	primeira	NCFS000	primeira
he	é	VSIP3S0	ser
porq	porque	CS	porque
ele	ele	PP3MS000	ele
o	o	PP3MSA00	o
mandou	mandou	VMIS3S0	mandar
asentar	assentar	VMN0000	assentar
	.	Fp	.
se	Se	CS	se
he	é	VSIP3S0	ser
q	que	CS	que
se	se	P00CN000	se
asentou	assentou	VMIS3S0	assentar
	,	Fc	,
o	o	DA0MS0	o
q	que	PR0CN000	que
Vmce	VM	NP00000	VM
não	não	RN	não
estava	estava	VMII0S0	estar
serto	certo	NCMS000	certo
e	e	CC	e
so	só	RG	só
o	o	DA0MS0	o
confirmara	confirmará	NCMS000	confirmará
o	o	DA0MS0	o
asento	assento	NCMS000	assento
vendo	vendo	VMG0000	ver
a	a	SPS00	a
sua	sua	DP3FS0	seu
Letra	letra	NCFS000	letra
(	,	Fc	,
mas	mas	CC	mais
q	que	CS	que
a	a	DA0FS0	o
obrigação	obrigação	NCFS000	obrigação
	,	Fc	,
vmce	VM	NP00000	VM
a	a	DA0FS0	o
fizera	fizera	VMIM0S0	fazer
e	e	CC	e
ma	ma	DA0FS0+DA0FS0	o+o
emtregara	emtregara	NCFS000	emtregara
)	.	Fp	.
emqto	Enquanto	CS	enquanto
a	à	SPS00+DA0FS0	a+o
obrigação	obrigação	NCFS000	obrigação
de	de	SPS00	de
8500$	8500$	Z	8500$
	,	Fc	,
