Seo	Seu	DP3MS0	seu
Ir	irmão	NCMS000	irmão
aqui	aqui	RG	aqui
esteve	esteve	VMIS3S0	estar
e	e	CC	e
emtregou	entregou	VMIS3S0	entregar
o	o	DA0MS0	o
que	que	PR0CN000	que
dis	diz	VMIP3S0	dizer
asima	acima	RG	acima
:	.	RG	acima
as	Às	SPS00+DA0FP0	a+o
dés	dez	Z	dez
oras	horas	NCFP000	hora
	,	Fc	,
foi	foi	VSIS3S0	ser
ele	ele	PP3MS000	ele
a	a	DA0FS0	o
Caza	casa	NCFS000	casa
do	do	SPS00+DA0MS0	de+o
Escrivão	escrivão	NCMS000	escrivão
,	,	Fc	,
digo	digo	VMIP1S0	dizer
do	do	SPS00+DA0MS0	de+o
Juis	juiz	NCMS000	juiz
de	de	SPS00	de
fora	fora	RG	fora
	,	Fc	,
levar	levar	VMN0000	levar
hua	uma	DI0FS0	um
petição	petição	NCFS000	um
	,	Fc	,
q	que	PR0CN000	que
não	não	RN	não
dispaxou	despachou	VMIS3S0	despachar
por	por	SPS00	por
estar	estar	VMN0000	estar
já	já	RG	já
recolhido	recolhido	VMP00SM	recolher
,	.	VMP00SM	recolher
e	E	CC	e
logo	logo	RG	logo
a	a	PP3FSA00	o
vai	vai	VMIP3S0	ir
buscar	buscar	VMN0000	buscar
o	o	DA0MS0	o
Mesqta	Mesquita	NP00000	mesquita
	.	Fp	.
não	Não	RN	não
vacille	vacile	VMSP0S0	vacilar
	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
nao	não	RN	não
a	há	VMIP3S0	haver
de	de	SPS00	de
perder	perder	VMN0000	perder
tempo	tempo	NCMS000	tempo
	.	Fp	.
