Illma	Ilustríssima	AQSFS0	ilustre
Sa	Senhora	NP00000	senhor
D	Dona	NP00000	dona
Mariana	Mariana	NP00000	mariana
Rebeiro	Ribeiro	NP00000	ribeiro
Mto	Muito	RQ	muito
estimamos	estimamos	VMIP1P0	estimar
a	a	DA0FS0	o
Saude	saúde	NCFS000	saúde
de	de	SPS00	de
VSa	VSa	NP00000	VSa
e	e	CC	e
de	de	SPS00	de
toda	toda	DI0FS0	todo
a	a	DA0FS0	o
sua	sua	DP3FS0	seu
fama	família	NCFS000	família
	.	Fp	.
eu	Eu	PP1CSN00	eu
sou	sou	VSIP1S0	ser
Capitão	capitão	NCMS000	capitão
de	de	SPS00	de
huma	uma	DI0FS0	um
quadrilha	quadrilha	NCFS000	quadrilha
de	de	SPS00	de
62	62	Z	62
homes	homens	NCMP000	homem
	.	Fp	.
temos	Temos	VMIP1P0	ter
dois	dois	Z	dois
prezos	presos	NCMP000	preso
ha	há	VMIP3S0	haver
9	9	Z	9
meses	meses	NCMP000	mês
	.	Fp	.
temos	Temos	VMIP1P0	ter
gastado	gastado	VMP00SM	gastar
mto	muito	NCMS000	muito
Com	com	SPS00	com
eles	eles	PP3MP000	ele
	,	Fc	,
e	e	CC	e
como	como	CS	como
não	não	RN	não
tenho	tenho	VMIP1S0	ter
denheiro	dinheiro	NCMS000	dinheiro
bastante	bastante	AQ0CS0	bastante
pa	para	SPS00	para
os	os	DA0MP0	o
Livrar	livrar	VMN0000	livrar
e	e	CC	e
valer	valer	VMN0000	valer
a	a	SPS00	a
2	2	Z	2
Infelices	infelizes	NCMP000	infeliz
	,	Fc	,
por	por	SPS00	por
iso	isso	PD0NN000	isso
recoro	recorro	VMIP1S0	recorrer
	,	Fc	,
e	e	CC	e
meos	meus	DP1MPS	meu
Camaradas	camaradas	NCMP000	camarada
	,	Fc	,
a	a	SPS00	a
VSa	VSa	NP00000	VSa
o	o	DA0MS0	o
favor	favor	NCMS000	favor
de	de	SPS00	de
nos	nos	PP1CP000	nos
prestar	prestar	VMN0000	prestar
çem	cem	Z	cem
mil	mil	Z	mil
reis	réis	NCMP000	réis
em	em	SPS00	em
papel	papel	NCMS000	papel
	,	Fc	,
q	que	CS	que
deles	deles	SPS00+PP3MP000	de+ele
faremos	faremos	VMIF1P0	fazer
the	até	SPS00	até
15	15	Z	15
do	do	SPS00+DA0MS0	de+o
mes	mês	NCMS000	mês
que	que	PR0CN000	que
vem	vem	VMIP3S0	vir
	,	Fc	,
pois	pois	CS	pois
temos	temos	VAIP1P0	ter
