Constame	Consta-me	VMIP3S0+PP1CS000	constar+me
q	que	CS	que
hum	um	DI0MS0	um
Prezo	preso	NCMS000	preso
daqui	daqui	SPS00+RG	de+aqui
	,	Fc	,
por	por	SPS00	por
nome	nome	NCMS000	nome
Joaqm	Joaquim	NP00000	joaquim
da	da	SPS00+DA0FS0	de+o
Costa	Costa	NP00000	costa
	,	Fc	,
q	que	CS	que
hé	é	VSIP3S0	ser
do	do	SPS00+DA0MS0	de+o
pé	pé	NCMS000	pé
de	de	SPS00	de
Leiria	Leiria	NP00000	leiria
foi	foi	VMIS3S0	ir
qm	quem	PR0CN000	quem
deo	deu	VMIS3S0	dar
a	a	DA0FS0	o
denuncia	denúncia	NCFS000	denúncia
e	e	CC	e
tudo	tudo	PI0NN000	tudo
está	está	VMIP3S0	estar
aranjado	aranjado	VMP00SM	aranjar
,	.	Fp	.
e	E	CC	e
o	o	DA0MS0	o
marido	marido	NCMS000	marido
da	da	SPS00+DA0FS0	de+o
tal	tal	RC	tal
mer	mulher	NCFS000	mulher
tem	tem	VMIP3S0	ter
já	já	RG	já
a	a	DA0FS0	o
portaria	portaria	NCFS000	portaria
na	na	SPS00+DA0FS0	em+o
mam	mão	NCFS000	mão
pa	para	SPS00	para
Vmce	VM	NP00000	VM
ser	ser	VSN0000	ser
prezo	preso	NCMS000	preso
,	,	Fc	,
segdo	segundo	CS	segundo
me	me	PP1CS000	me
Consta	consta	VMIP3S0	constar
	.	Fp	.
portanto	Portanto	RG	portanto
	,	Fc	,
Veja	veja	VMSP0S0	ver
Como	como	CS	como
aranja	arranja	VMIP3S0	arranjar
estas	estas	DD0FP0	este
coizas	coisas	NCFP000	coisa
pois	pois	CS	pois
creio	creio	VMIP1S0	crer
q	que	CS	que
athé	até	SPS00	até
foi	foi	VMIS3S0	ir
ordem	ordem	NCFS000	ordem
pa	para	SPS00	para
sequestro	sequestro	NCMS000	sequestro
,	,	Fc	,
mas	mas	CC	mais
não	não	RN	não
sei	sei	VMIP1S0	saber
a	a	SPS00	a
q	que	CS	que
Menistro	ministro	NCMS000	ministro
foi	foi	VMIS3S0	ir
:	.	Fp	.
Portanto	Portanto	RG	portanto
	,	Fc	,
só	só	RG	só
me	me	PP1CS000	me
lembro	lembro	VMIP1S0	lembrar
de	de	SPS00	de
hum	um	DI0MS0	um
seguro	seguro	NCMS000	seguro
rial	real	NCMS000	real
,	,	Fc	,
por	por	SPS00	por
ser	ser	VSN0000	ser
isto	isto	PD0NN000	isto
Com	com	SPS00	com
o	o	DA0MS0	o
Intende	Intendente	NP00000	intendente
,	.	Fp	.
e	E	CC	e
se	se	CS	se
Vmce	VM	NP00000	VM
estivese	estivesse	VMSI0S0	estar
prezo	preso	NCMS000	preso
,	,	Fc	,
então	então	RG	então
se	se	CS	se
puderia	poderia	VMIC0S0	poder
aranjar	arranjar	VMN0000	arranjar
a	a	DA0FS0	o
Coiza	coisa	NCFS000	coisa
pelo	pelo	SPS00+DA0MS0	por+o
mo	mesmo	AQ0MS0	mesmo
Denunciante	denunciante	NCCS000	denunciante
pois	pois	CS	pois
	,	Fc	,
sendo	sendo	VSG0000	ser
com	com	SPS00	com
elle	ele	PP3MS000	ele
aCariado	acariado	VMP00SM	acariar
	,	Fc	,
o	o	DA0MS0	o
nam	não	RN	não
tirase	tirasse	VMSI0S0	tirar
e	e	CC	e
depois	depois	RG	depois
disese	dissesse	VMSI0S0	dizer
q	que	CS	que
era	era	VSII0S0	ser
outro	outro	DI0MS0	outro
a	a	SPS00	a
qm	quem	PR0CN000	quem
xamavão	chamavam	VMII3P0	chamar
pelo	pelo	SPS00+DA0MS0	por+o
mo	mesmo	AQ0MS0	mesmo
nome	nome	NCMS000	nome
	,	Fc	,
etc	etc	NCMS000	etc
	.	Fp	.
este	Este	DD0MS0	este
denunciante	denunciante	NCCS000	denunciante
foi	foi	VSIS3S0	ser
Companheiro	companheiro	NCMS000	companheiro
do	do	SPS00+DA0MS0	de+o
roubo	roubo	NCMS000	roubo
,	.	Fp	.
ele	Ele	PP3MS000	ele
denunciou	denunciou	VMIS3S0	denunciar
:	,	Fc	,
ela	ela	PP3FS000	ele
está	está	VMIP3S0	estar
na	na	SPS00+DA0FS0	em+o
enxovia	enxovia	NCFS000	enxovia
	.	Fp	.
seo	Seu	DP3MS0	seu
Ao	amigo	NCMS000	amigo
