Exmo	Excelentíssimo		
Snr	Senhor		
	.		
Muito	Muito		
hei	hei		
de	de		
de	de		
estimar	estimar		
que	que		
V	Vossa		
Exa	Excelência		
que	que		
se	se		
ache	ache		
melhor	melhor		
de	de		
Saude	saúde		
	.		
pois	Pois	CS	pois
eu	eu	PP1CSN00	eu
escrevo	escrevo	VMIP1S0	escrever
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
para	para	SPS00	para
lhe	lhe	PP3CSD00	lhe
pedir	pedir	VMN0000	pedir
Benignamente	benignamente	RG	benignamente
perdão	perdão	NCMS000	perdão
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
do	do	SPS00+DA0MS0	de+o
que	que	PR0CN000	que
aconteceo	aconteceu	VMIS3S0	acontecer
,	,	Fc	,
pois	pois	CS	pois
eu	eu	PP1CSN00	eu
não	não	RN	não
o	o	PP3MSA00	o
fiz	fiz	VMIS1S0	fazer
de	de	SPS00	de
prepozito	propósito	NCMS000	propósito
,	,	Fc	,
porque	porque	CS	porque
	,	Fc	,
sahindo	saindo	VMG0000	sair
eu	eu	PP1CSN00	eu
de	de	SPS00	de
Caza	casa	NCFS000	casa
com	com	SPS00	com
tenção	tenção	NCFS000	tenção
de	de	SPS00	de
tornar	tornar	VMN0000	tornar
logo	logo	RG	logo
,	,	Fc	,
fiz	fiz	VMIS1S0	fazer
a	a	DA0FS0	o
as-neira	asneira	NCFS000	o
de	de	SPS00	de
hir	ir	VMN0000	ir
a	à	SPS00+DA0FS0	a+o
outra	outra	DI0FS0	outro
banda	banda	NCFS000	banda
e	e	CC	e
	,	Fc	,
não	não	RN	não
podendo	podendo	VMG0000	poder
vir	vir	VMN0000	vir
no	no	SPS00+DA0MS0	em+o
mesmo	mesmo	AQ0MS0	mesmo
dia	dia	NCMS000	dia
por	por	SPS00	por
cauza	causa	NCFS000	causa
de	de	SPS00	de
enbarcação	embarcação	NCFS000	embarcação
,	,	Fc	,
e	e	CC	e
por	por	SPS00	por
isso	isso	PD0NN000	isso
he	é	VSIP3S0	ser
que	que	CS	que
fiz	fiz	VMIS1S0	fazer
a	a	DA0FS0	o
falta	falta	NCFS000	o
,	.	Fp	.
e	E	CC	e
não	não	RN	não
fui	fui	VMIS1S0	ir
logo	logo	RG	logo
pedir	pedir	VMN0000	pedir
perdão	perdão	NCMS000	perdão
a	a	SPS00	a
V	Vossa	DP2FSP	vosso
Exa	Excelência	NP00000	excelência
por	por	SPS00	por
estar	estar	VMN0000	estar
envergo-nhado	envergonhado	VMP00SM	envergonhar
da	da	SPS00+DA0FS0	de+o
falta	falta	NCFS000	falta
que	que	PR0CN000	que
fiz	fiz	VMIS1S0	fazer
,	.	Fp	.
e	E	CC	e
eu	eu	PP1CSN00	eu
