Ilmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Joan	João	NP00000	joão
de	de	SPS00	de
Castro	Castro	NP00000	castro
de	de	SPS00	de
Rocha	Rocha	NP00000	rocha
Primo	Primo	NP00000	primo
do	do	SPS00+DA0MS0	de+o
C	coração	NCMS000	coração
	,	Fc	,
dezejote	desejo-te	VMIP1S0+PP2CS000	desejar+te
boa	boa	AQ0FS0	bom
saude	saúde	NCFS000	saúde
e	e	CC	e
os	aos	SPS00+DA0MP0	a+o
primos	primos	NCMP000	primo
	,	Fc	,
a	a	SPS00	a
qm	quem	PR0CN000	quem
me	me	PP1CS000	me
Recomdo	recomendo	VMIP1S0	recomendar
	.	Fp	.
O	O	DA0MS0	o
portador	portador	NCMS000	portador
desta	desta	SPS00+DD0FS0	de+este
hé	é	VSIP3S0	ser
Caetano	Caetano	NP00000	caetano
Cavadas	Cavadas	NP00000	Cavadas
	,	Fc	,
fo	filho	NCMS000	filho
de	de	SPS00	de
Manoel	Manuel	NP00000	manuel
Pinto	Pinto	NP00000	pinto
Cavadas	Cavadas	NP00000	Cavadas
de	de	SPS00	de
Souto	Souto	NP00000	souto
Redondo	Redondo	NP00000	Re
,	,	Fc	,
que	que	CS	que
se	se	P00CN000	se
acha	acha	VMIP3S0	achar
prezo	preso	NCMS000	preso
nas	nas	SPS00+DA0FP0	em+o
Cadeias	cadeias	NCFP000	cadeia
desta	desta	SPS00+DD0FS0	de+este
Villa	vila	NCFS000	vila
em	em	SPS00	em
virtude	virtude	NCFS000	virtude
de	de	SPS00	de
huma	uma	DI0FS0	um
querela	querela	NCFS000	querela
por	por	SPS00	por
cauza	causa	NCFS000	causa
de	de	SPS00	de
huns	uns	DI0MP0	um
bois	bois	NCMP000	boi
que	que	PR0CN000	que
contra	contra	SPS00	contra
ele	ele	PP3MS000	ele
Requereu	requereu	VMIS3S0	requerer
no	no	SPS00+DA0MS0	em+o
Porto	Porto	NP00000	porto
Joze	José	NP00000	josé
Pinto	Pinto	NP00000	pinto
do	do	SPS00+DA0MS0	de+o
mosteiro	mosteiro	NCMS000	mosteiro
de	de	SPS00	de
Samdim	Sandim	NP00000	sandim
	,	Fc	,
Primo	primo	NCMS000	primo
de	de	SPS00	de
Bento	Bento	NP00000	bento
Joze	José	NP00000	josé
Pinto	Pinto	NP00000	pinto
da	da	SPS00+DA0FS0	de+o
Motta	Mota	NP00000	mota
de	de	SPS00	de
Villa	Vila	NP00000	vila
Boa	Boa	NP00000	boa
,	,	Fc	,
qui	que	CS	que
asiste	assiste	VMIP3S0	assistir
no	no	SPS00+DA0MS0	em+o
Porto	Porto	NP00000	porto
	.	Fp	.
e	E	CC	e
	,	Fc	,
tendoses	tendo-se	VAG0000+P00CN000	ter+se
procurado	procurado	VMP0000	procurar
os	os	DA0MP0	o
maiores	maiores	AQ0CP0	maiores
empenhos	empenhos	SPS00	em
pa	para	SPS00	para
que	que	CS	que
aquele	aquele	DD0MS0	aquele
queira	queira	VMSP0S0	querer
dar	dar	VMN0000	dar
perdom	perdão	NCMS000	perdão
ao	ao	SPS00+DA0MS0	a+o
Pai	pai	NCMS000	pai
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Portador	portador	NCMS000	portador
	,	Fc	,
nam	não	RN	não
hé	é	VSIP3S0	ser
posivel	possível	AQ0CS0	possível
obtelo	obtê-lo	AQ0CS0	possível
pois	pois	CS	pois
