Illmo	Ilustríssimo	AQSMS0	ilustre
Sr	Senhor	NP00000	senhor
Joze	José	NP00000	josé
Anto	António	NP00000	antónio
de	de	SPS00	de
Castro	Castro	NP00000	castro
Rio	Rio	NP00000	rio
Torto	Torto	NP00000	torto
	,	Fc	,
2	2	Z	2
de	de	SPS00	de
Fevro	fevereiro	NCMS000	fevereiro
de	de	SPS00	de
815	815	Z	815
Snr	Senhor	NP00000	senhor
	,	Fc	,
recebi	recebi	VMIS1S0	receber
pelo	pelo	SPS00+DA0MS0	por+o
seu	seu	DP3MS0	seu
escrivão	escrivão	NCMS000	escrivão
avizo	aviso	NCMS000	aviso
pa	para	SPS00	para
hir	ir	VMN0000	ir
jurar	jurar	VMN0000	jurar
no	no	SPS00+DA0MS0	em+o
sumario	sumário	NCMS000	sumário
de	de	SPS00	de
testemunhas	testemunhas	NCFP000	testemunha
q	que	PR0CN000	que
va	Vossa	DP2FSP	vosso
rma	Reverendíssima	AQSFS0	reverendo
	,	Fc	,
como	como	SPS00	como
juis	Juiz	NP00000	juiz
comissario	Comissário	NP00000	comissário
	,	Fc	,
ista	está	VMIP3S0	estar
inquirindo	inquirindo	VMG0000	inquirir
;	.	Fp	.
prezumo	Presumo	VMIP1S0	presumar
ser	ser	VSN0000	ser
denunciante	denunciante	NCCS000	denunciante
do	do	SPS00+DA0MS0	de+o
do	dito	VMP00SM	dizer
Joze	José	NP00000	josé
Glz	Gonçalves	NP00000	gonçalves
Castelhano	Castelhano	NP00000	castelhano
e	e	CC	e
o	o	DA0MS0	o
denunciado	denunciado	VMP00SM	denunciar
o	o	DA0MS0	o
rdo	Reverendo	NP00000	reverendo
Anto	António	NP00000	antónio
Vidál	Vidal	NP00000	vidal
Fra	Ferreira	NP00000	ferreira
Pinto	Pinto	NP00000	pinto
.	.	Fp	.
Sendo	Sendo	VSG0000	ser
assim	assim	RG	assim
	,	Fc	,
rogo	rogo	VMIP1S0	rogar
a	a	SPS00	a
v	Vossa	DP2FSP	vosso
rma	Reverendíssima	AQSFS0	reverendo
me	me	PP1CS000	me
escuze	escuse	VMSP0S0	escusar
de	de	SPS00	de
jurar	jurar	VMN0000	jurar
;	,	Fc	,
não	não	RN	não
some	somente	RG	somente
por	por	SPS00	por
me	me	PP1CS000	me
achar	achar	VMN0000	achar
doente	doente	AQ0CS0	doente
mas	mas	CC	mais
taobem	também	RG	também
porq	porque	CS	porque
devo	devo	VMIP1S0	dever
dar-me	dar-me	VMN0000+PP1CS000	dar+me
por	por	SPS00	por
suspeito	suspeito	NCMS000	suspeito
	,	Fc	,
como	como	CS	como
de	de	SPS00	de
facto	facto	NCMS000	facto
me	me	PP1CS000	me
dou	dou	VMIP1S0	dar
por	por	SPS00	por
suspeito	suspeito	NCMS000	suspeito
de	de	SPS00	de
jurar	jurar	VMN0000	jurar
em	em	SPS00	em
seme	semelhante	AQ0CS0	semelhante
sumario	sumário	NCMS000	sumário
.	.	Fp	.
Razoens	Razões	NCFP000	razão
e	e	CC	e
motivos	motivos	NCMP000	motivo
imperiozos	imperiosos	AQ0MP0	imperioso
me	me	PP1CS000	me
obrigão	obrigam	VMIP3P0	obrigar
a	a	SPS00	a
suplicárlhe	suplicar-lhe	VMN0000+PP3CSD00	suplicar+lhe
este	este	DD0MS0	este
obzequio	obséquio	NCMS000	obséquio
q	que	PR0CN000	que
espero	espero	VMIP1S0	esperar
da	da	SPS00+DA0FS0	de+o
sua	sua	DP3FS0	seu
rectidão	retidão	NCFS000	retidão
	.	Fp	.
Estimo	Estimo	VMIP1S0	estimar
tenha	tenha	VMSP0S0	ter
boa	boa	AQ0FS0	bom
saude	saúde	NCFS000	saúde
e	e	CC	e
lhe	lhe	PP3CSD00	lhe
dezejo	desejo	VMIP1S0	desejar
continuada	continuada	VMP00SF	continuar
	,	Fc	,
sendo	sendo	VSG0000	ser
de	de	SPS00	de
v	Vossa	DP2FSP	vosso
rma	Reverendíssima	AQSFS0	reverendo
	...	Fs	...
mto	Muito	RQ	muito
vor	venerador	NCMS000	venerador
e	e	CC	e
c	criado	NCMS000	criado
humil	humilde	AQ0CS0	humilde
	,	Fc	,
Anto	António	NP00000	antónio
Alvs	Alves	NP00000	alves
Domes	Domingues	NP00000	domingues
