Mto	Muito	RQ	muito
Rdo	Reverendo	AQ0MS0	reverendo
Sr	Senhor	NP00000	senhor
Pe	Padre	NP00000	padre
Anto	António	NP00000	antónio
Vidal	Vidal	NP00000	vidal
Ferra	Ferreira	NP00000	ferreira
Pinto	Pinto	NP00000	pinto
Olim	Olim	NP00000	olim
	,	Fc	,
31	31	Z	31
de	de	SPS00	de
Agosto	agosto	NCMS000	agosto
de	de	SPS00	de
1807	1807	Z	1807
Partiçipo	Participo	VMIP1S0	participar
a	a	SPS00	a
vmce	VM	NP00000	VM
q	que	CS	que
hé	é	VSIP3S0	ser
faleçido	falecido	VMP00SM	falecer
o	o	DA0MS0	o
doente	doente	NCCS000	doente
q	que	PR0CN000	que
vmce	VM	NP00000	VM
aqui	aqui	RG	aqui
veio	veio	VMIS3S0	vir
fazerlhe	fazer-lhe	VMN0000+PP3CSD00	fazer+lhe
a	a	DA0FS0	o
esmolla	esmola	NCFS000	esmola
comfeçar	confessar	VMN0000	confessar
	.	Fp	.
E	E	CC	e
por	por	SPS00	por
este	este	DD0MS0	este
respeito	respeito	NCMS000	respeito
	,	Fc	,
vou	vou	VMIP1S0	ir
por	por	SPS00	por
esta	esta	PD0FS000	este
rogar-lhe	rogar-lhe	VMN0000+PP3CSD00	rogar+lhe
se	se	CSI	se
quer	quer	VMIP3S0	querer
fazer	fazer	VMN0000	fazer
a	a	DA0FS0	o
esmolla	esmola	NCFS000	esmola
dizer-lhe	dizer-lhe	VMN0000+PP3CSD00	dizer+lhe
hua	uma	DI0FS0	um
miça	missa	NCFS000	missa
de	de	SPS00	de
corpo	corpo	NCMS000	corpo
preze	presente	AQ0CS0	presente
amanham	amanhã	RG	amanhã
ou	ou	CC	ou
qdo	quando	PA000000	quando
poder	puder	VMSF0S0	poder
,	.	Fp	.
e	E	CC	e
pa	para	SPS00	para
a	a	DA0FS0	o
da	dita	VMP00SF	dizer
miça	missa	NCFS000	missa
remeto	remeto	VMIP1S0	remeter
dentro	dentro	RG	dentro
desta	desta	SPS00+DD0FS0	de+este
