Lisboa	Lisboa	NP00000	lisboa
18	18	Z	18
de	de	SPS00	de
Junho	junho	NCMS000	junho
1822	1822	Z	1822
Illmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Izidro	Isidro	NP00000	isidro
Estimo	Estimo	VMIP1S0	estimar
muito	muito	RQ	muito
q	que	CS	que
VaSa	VSa	NP00000	VSa
tenha	tenha	VMSP0S0	ter
passado	passado	VMP0000	passar
mto	muito	RQ	muito
bem	bem	RG	bem
e	e	CC	e
tudo	tudo	PI0NN000	tudo
qto	quanto	PR0CN000	quanto
lhe	lhe	PP3CSD00	lhe
pertence	pertence	VMIP3S0	pertencer
	.	Fp	.
pois	Pois	RG	pois
fico	fico	VMIP1S0	ficar
áo	ao	SPS00+DA0MS0	a+o
seu	seu	DP3MS0	seu
dispor	dispor	NCMS000	dispor
pa	para	SPS00	para
o	o	DA0MS0	o
servir	servir	VMN0000	servir
no	no	SPS00+DA0MS0	em+o
seu	seu	DP3MS0	seu
serviço	serviço	NCMS000	serviço
	.	Fp	.
Sr	Senhor	NP00000	senhor
	,	Fc	,
sou	sou	VSIP1S0	ser
hum	um	DI0MS0	um
sugeito	sujeito	NCMS000	sujeito
q	que	PR0CN000	que
tenho	tenho	VAIP1S0	ter
fa-llado	falado	VMP0000	falar
com	com	SPS00	com
VaSa	VSa	NP00000	VSa
(	(	Fc	(
isto	isto	PD0NN000	isto
desconhecido	desconhecido	VMP00SM	desconhecer
)	)	Fbt	)
	,	Fc	,
e	e	CC	e
como	como	CS	como
eu	eu	PP1CSN00	eu
sei	sei	VMIP1S0	saber
qm	quem	PR0CN000	quem
VaSa	VSa	NP00000	VSa
hé	é	VSIP3S0	ser
e	e	CC	e
sei	sei	VMIP1S0	saber
bellamte	belamente	RG	belamente
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
teres	teres	VMII2S0	ter
,	,	Fc	,
por	por	SPS00	por
isso	isso	PD0NN000	isso
hé	é	VSIP3S0	ser
q	que	CS	que
faço	faço	VMIP1S0	fazer
esta	esta	DD0FS0	este
,	,	Fc	,
só	só	RG	só
pa	para	SPS00	para
o	o	DA0MS0	o
fim	fim	NCMS000	fim
de	de	SPS00	de
VaSa	VSa	NP00000	VSa
me	me	PP1CS000	me
Valer	valer	VMN0000	valer
nesta	nesta	SPS00+DD0FS0	em+este
oCasião	ocasião	NCFS000	ocasião
sem	sem	SPS00	sem
falta	falta	NCFS000	falta
algua	alguma	DI0FS0	algum
,	,	Fc	,
visto	visto	VMP00SM	ver
q	que	CS	que
vou	vou	VMIP1S0	ir
a	a	SPS00	a
expor	expor	VMN0000	expor
a	a	SPS00	a
VaSa	VSa	NP00000	VSa
	.	Fp	.
he	E	CC	e
fique	fique	VMSP0S0	ficar
Certo	certo	RG	certo
q	que	CS	que
o	o	PP3MSA00	o
tenho	tenho	VMIP1S0	ter
rezervado	reservado	VMP00SM	reservar
pa	para	SPS00	para
esta	esta	DD0FS0	este
oCasião	ocasião	NCFS000	ocasião
,	,	Fc	,
porque	porque	CS	porque
numca	nunca	RN	nunca
consenti	consenti	VMIS1S0	consentir
q	que	CS	que
VaSa	VSa	NP00000	VSa
foçe	fosse	VSSI0S0	ser
atacado	atacado	VMP00SM	atacar
,	,	Fc	,
porque	porque	CS	porque
o	o	PP3MSA00	o
tenho	tenho	VMIP1S0	ter
deixado	deixado	VMP00SM	deixar
para	para	SPS00	para
hua	uma	DI0FS0	um
oCasião	ocasião	NCFS000	ocasião
tal	tal	RC	tal
e	e	CC	e
qual	qual	CS	qual
a	a	SPS00	a
esta	esta	DD0FS0	este
,	.	Fp	.
Sr	Senhor	NP00000	senhor
	,	Fc	,
sou	sou	VSIP1S0	ser
hum	um	DI0MS0	um
Capitão	capitão	NCMS000	capitão
de	de	SPS00	de
Ladroins	ladrões	NCMP000	ladrão
e	e	CC	e
aConteceu	aconteceu	VMIS3S0	acontecer
agora	agora	RG	agora
prenderem	prenderem	VMII3P0	prender
tres	três	Z	três
dos	dos	SPS00+DA0MP0	de+o
meus	meus	DP1MPS	meu
Camaradas	camaradas	NCMP000	camarada
,	.	Fp	.
e	E	CC	e
Como	como	CS	como
Eu	eu	PP1CSN00	eu
tenho	tenho	VMIP1S0	ter
gasto	gasto	NCMS000	gasto
ja	já	RG	já
grde	grande	AQ0CS0	grande
coantia	quantia	NCFS000	quantia
de	de	SPS00	de
moedas	moedas	NCFP000	moeda
pa	para	SPS00	para
os	os	DA0MP0	o
Livrar	livrar	VMN0000	livrar
	,	Fc	,
ainda	ainda	RG	ainda
me	me	PP1CS000	me
ssão	são	VSIP3P0	ser
precizas	precisas	AQ0FP0	preciso
trinta	trinta	Z	trinta
Moédas	moedas	NCFP000	moeda
pa	para	SPS00	para
eu	eu	PP1CSN00	eu
os	os	PP3MSA00	o
por	pôr	VMN0000	pôr
na	na	SPS00+DA0FS0	em+o
rua	rua	NCFS000	rua
,	.	Fp	.
e	E	CC	e
cmo	como	SPS00	como
VaSa	VSa	NP00000	VSa
tem	tem	VMIP3S0	ter
sido	sido	VSP0000	ser
prevelegiado	privilegiado	VMP00SM	privilegiar
a	a	SPS00	a
respto	respeito	NCMS000	respeito
de	de	SPS00	de
ser	ser	VSN0000	ser
roubado	roubado	VMP00SM	roubar
,	,	Fc	,
porq	porque	CS	porque
eu	eu	PP1CSN00	eu
o	o	PP3MSA00	o
tinha	tinha	VAII0S0	ter
deixado	deixado	VMP00SM	deixar
pa	para	SPS00	para
esta	esta	DD0FS0	este
oCasião	ocasião	NCFS000	ocasião
,	,	Fc	,
e	e	CC	e
por	por	SPS00	por
isso	isso	PD0NN000	isso
espero	espero	VMIP1S0	esperar
q	que	CS	que
VaSa	VSa	NP00000	VSa
	,	Fc	,
sem	sem	SPS00	sem
falta	falta	NCFS000	falta
nehnhuma	nenhuma	DI0FS0	nenhum
,	,	Fc	,
as	as	PP3FPA00	o
mande	mande	VMSP0S0	mandar
as	as	DA0FP0	o
das	ditas	VMP00PF	dizer
trinta	trinta	Z	trinta
moedas	moedas	NCFP000	moeda
menos	menos	RC	menos
nada	nada	PI0NN00N	nada
	,	Fc	,
porq	porque	CS	porque
VaSa	VSa	NP00000	VSa
ha	há	VMIP3S0	haver
de	de	SPS00	de
ser	ser	VSN0000	ser
outra	outra	DI0FS0	outro
vez	vez	NCFS000	vez
entregue	entregue	VMP00SM	entregar
da	da	SPS00+DA0FS0	de+o
da	dita	VMP00SF	dizer
Coantia	quantia	NCFS000	quantia
logo	logo	RG	logo
apenas	apenas	RG	apenas
q	que	CS	que
sahião	saiam	VMSP3P0	sair
os	os	DA0MP0	o
dos	ditos	NCMP000	o
meus	meus	DP1MPS	meu
Camaradas	camaradas	NCMP000	camarada
	.	Fp	.
e	E	CC	e
sera	será	VSIF3S0	ser
entregue	entregue	VMP00SM	entregar
ou	ou	CC	ou
em	em	SPS00	em
sua	sua	DP3FS0	seu
Caza	casa	NCFS000	casa
ou	ou	CC	ou
em	em	SPS00	em
qualquer	qualquer	DI0CS0	qualquer
fra	freguesia	NCFS000	freguesia
ou	ou	CC	ou
