3	3	Z	3
de	de	SPS00	de
7bro	setembro	NCMS000	setembro
Snr	Senhor	NP00000	senhor
Joaqm	Joaquim	NP00000	joaquim
Antonio	António	NP00000	antónio
Tenrreiro	Tenreiro	NP00000	tenreiro
Estimaremos	Estimaremos	VMIF1P0	estimar
muito	muito	RQ	muito
q	que	CS	que
vmce	VM	NP00000	VM
tenha	tenha	VMSP0S0	ter
passado	passado	VMP0000	passar
mto	muito	RQ	muito
bem	bem	RG	bem
e	e	CC	e
tudo	tudo	PI0NN000	tudo
quando	quando	CS	quando
lhe	lhe	PP3CSD00	lhe
pertençe	pertence	VMIP3S0	pertencer
	.	Fp	.
Com	Com	SPS00	com
esta	esta	DD0FS0	este
vou	vou	VMIP1S0	ir
a	a	SPS00	a
pedir	pedir	VMN0000	pedir
a	a	SPS00	a
vmce	VM	NP00000	VM
o	o	DA0MS0	o
obzequio	obséquio	NCMS000	obséquio
de	de	SPS00	de
me	me	PP1CS000	me
prestar	prestar	VMN0000	prestar
12	12	Z	12
moedas	moedas	NCFP000	moeda
	,	Fc	,
as	as	DA0FP0	o
quaes	quais	PR0CP000	qual
vmce	VM	NP00000	VM
me	me	PP1CS000	me
empresta	empresta	VMIP3S0	emprestar
athe	até	SPS00	até
eu	eu	PP1CSN00	eu
ter	ter	VMN0000	ter
oCazião	ocasião	NCFS000	ocasião
pa	para	SPS00	para
a	a	SPS00	a
enteregar	entregar	VMN0000	entregar
a	a	SPS00	a
vmce	VM	NP00000	VM
este	este	DD0MS0	este
dro	dinheiro	NCMS000	dinheiro
	,	Fc	,
pois	pois	CS	pois
aconteceu	aconteceu	VMIS3S0	acontecer
prenderem	prenderem	VMN03P0	prender
hum	um	DI0MS0	um
meu	meu	DP1MSS	meu
Camarada	camarada	NCMS000	camarada
,	,	Fc	,
o	o	DA0MS0	o
qual	qual	PR0CN000	qual
esta	está	VMIP3S0	estar
prezo	preso	NCMS000	preso
no	no	SPS00+DA0MS0	em+o
Limoeiro	Limoeiro	NP00000	limoeiro
,	.	Fp	.
e	E	CC	e
vmce	VM	NP00000	VM
	...	Fc	...
Fará	fará	VMIF3S0	fazer
o	o	DA0MS0	o
favor	favor	NCMS000	favor
de	de	SPS00	de
me	me	PP1CS000	me
mandar	mandar	VMN0000	mandar
estas	estas	DD0FP0	este
doze	doze	Z	doze
moedas	moedas	NCFP000	moeda
pello	pelo	SPS00+DA0MS0	por+o
Corro	correio	NCMS000	correio
siguro	seguro	AQ0MS0	seguro
,	.	Fp	.
e	E	CC	e
mandara	mandará	VMIF3S0	mandar
a	a	DA0FS0	o
Carta	carta	NCFS000	carta
com	com	SPS00	com
a	a	DA0FS0	o
Cautella	cautela	NCFS000	cautela
,	.	Fp	.
e	E	CC	e
remeta	remeta	VMSP0S0	remeter
tudo	tudo	PI0NN000	tudo
pa	para	SPS00	para
o	o	DA0MS0	o
Snr	Senhor	NP00000	senhor
Joze	José	NP00000	josé
Maria	Maria	NP00000	maria
Peixo-to	Peixoto	NP00000	peixoto
de	de	SPS00	de
Azevedo	Azevedo	NP00000	azevedo
,	,	Fc	,
prezo	preso	NCMS000	preso
no	no	SPS00+DA0MS0	em+o
Limoeiro	Limoeiro	NP00000	limoeiro
	.	Fp	.
e	E	CC	e
mandara	mandará	VMIF3S0	mandar
vmce	VM	NP00000	VM
este	este	DD0MS0	este
dro	dinheiro	NCMS000	dinheiro
athe	até	SPS00	até
o	o	DA0MS0	o
dia	dia	NCMS000	dia
12	12	Z	12
do	do	SPS00+DA0MS0	de+o
Corrte	corrente	NCMS000	corrente
pois	pois	CS	pois
eu	eu	PP1CSN00	eu
patrto	parto	VMIP1S0	partir
destes	destes	SPS00+DD0MP0	de+este
sitios	sítios	NCMP000	sítio
pa	para	SPS00	para
Estremores	Estremoz	NP00000	estremoz
,	,	Fc	,
e	e	CC	e
então	então	RG	então
eu	eu	PP1CSN00	eu
mandarei	mandarei	VMIF1S0	mandar
entregar	entregar	VMN0000	entregar
a	a	SPS00	a
vmce	VM	NP00000	VM
o	o	DA0MS0	o
seu	seu	DP3MS0	seu
dro	dinheiro	NCMS000	dinheiro
ou	ou	CC	ou
em	em	SPS00	em
sua	sua	DP3FS0	seu
Caza	casa	NCFS000	casa
ou	ou	CC	ou
em	em	SPS00	em
algua	alguma	DI0FS0	algum
pte	parte	NCFS000	parte
q	que	PR0CN000	que
nos	nos	PP1CP000	nos
encontrarmos	encontrarmos	VMN01P0	encontrar
,	.	Fp	.
pois	Pois	CS	pois
este	este	DD0MS0	este
dro	dinheiro	NCMS000	dinheiro
hé	é	VSIP3S0	ser
pa	para	SPS00	para
este	este	DD0MS0	este
meu	meu	DP1MSS	meu
Camarada	camarada	NCMS000	camarada
ser	ser	VSN0000	ser
solto	solto	VMP00SM	soltar
,	,	Fc	,
e	e	CC	e
como	como	CS	como
eu	eu	PP1CSN00	eu
agora	agora	RG	agora
estou	estou	VMIP1S0	estar
falto	falto	VMP00SM	faltar
de	de	SPS00	de
dro	dinheiro	NCMS000	dinheiro
	,	Fc	,
hé	é	VSIP3S0	ser
a	a	DA0FS0	o
rezão	razão	NCFS000	razão
por	por	SPS00	por
que	que	PR0CN000	que
peço	peço	VMIP1S0	pedir
a	a	SPS00	a
vmce	VM	NP00000	VM
este	este	DD0MS0	este
obzequio	obséquio	NCMS000	obséquio
,	,	Fc	,
o	o	DA0MS0	o
que	que	PR0CN000	que
eu	eu	PP1CSN00	eu
espero	espero	VMIP1S0	esperar
me	me	PP1CS000	me
sirva	sirva	VMSP0S0	servir
sem	sem	SPS00	sem
falta	falta	NCFS000	falta
nenhuma	nenhuma	DI0FS0	nenhum
,	.	Fp	.
e	E	CC	e
não	não	RN	não
quero	quero	VMIP1S0	querer
disculpas	desculpas	NCFP000	desculpa
porq	porque	CS	porque
eu	eu	PP1CSN00	eu
sei	sei	VMIP1S0	saber
bellamte	belamente	RG	belamente
os	os	DA0MP0	o
seus	seus	DP3MP0	seu
teres	teres	VMII2S0	ter
	.	Fp	.
Emfim	Enfim	RG	enfim
	,	Fc	,
eu	eu	PP1CSN00	eu
espero	espero	VMIP1S0	esperar
em	em	SPS00	em
vmce	VM	NP00000	VM
mande	mande	VMSP0S0	mandar
Ja	já	RG	já
ja	já	RG	já
este	este	DD0MS0	este
dro	dinheiro	NCMS000	dinheiro
	.	Fp	.
e	E	CC	e
qdo	quando	CS	quando
não	não	RN	não
mande	mande	VMSP0S0	mandar
,	,	Fc	,
pode	pode	VMIP3S0	poder
contar	contar	VMN0000	contar
q	que	CS	que
mmo	mesmo	RG	mesmo
a	a	SPS00	a
sua	sua	DP3FS0	seu
Caza	casa	NCFS000	casa
lhe	lhe	PP3CSD00	lhe
vou	vou	VMIP1S0	ir
tirar	tirar	VMN0000	tirar
a	a	DA0FS0	o
Vida	vida	NCFS000	vida
,	.	Fp	.
e	E	CC	e
conte	conte	NP00000	conte
q	que	CS	que
morre	morre	VMIP3S0	morrer
,	.	Fp	.
e	E	CC	e
quero	quero	VMIP1S0	querer
ja	já	RG	já
ja	já	RG	já
este	este	DD0MS0	este
dro	dinheiro	NCMS000	dinheiro
	,	Fc	,
qdo	quando	CS	quando
não	não	RN	não
...	...	Fc	...
.	.	Fp	.
Remeta	Remeta	VMSP0S0	remeter
tudo	tudo	PI0NN000	tudo
pa	para	SPS00	para
o	o	DA0MS0	o
do	dito	VMP00SM	dizer
Joze	José	NP00000	josé
Maria	Maria	NP00000	maria
Peixoto	Peixoto	NP00000	peixoto
de	de	SPS00	de
Azevedo	Azevedo	NP00000	azevedo
,	,	Fc	,
prezo	preso	NCMS000	preso
no	no	SPS00+DA0MS0	em+o
Limoeiro	Limoeiro	NP00000	limoeiro
,	.	Fp	.
e	E	CC	e
mande	mande	VMSP0S0	mandar
este	este	DD0MS0	este
