ILLmo	Ilustríssimo	AQSMS0	ilustre
Snr	Senhor	NP00000	senhor
Dor	Doutor	NP00000	doutor
Juis	Juiz	NP00000	juiz
de	de	SPS00	de
Fora	Fora	NP00000	fora
Postras	Prostra-se	VMIP3S0+P00CN000	prostrar+se
os	aos	SPS00+DA0MP0	a+o
pes	pés	NCMP000	pé
de	de	SPS00	de
voca	Vossa	DP2FPP	vosso
Senoria	Senhoria	NP00000	senhoria
Fr	Frei	NP00000	frei
Antonio	António	NP00000	antónio
de	de	SPS00	de
Sta	Santa	NP00000	santa
Anna	Ana	NP00000	ana
	,	Fc	,
retido	retido	VMP00SM	reter
nesta	nesta	SPS00+DD0FS0	em+este
estLage	estalagem	NCFS000	estalagem
orde	ordem	NCFS000	ordem
de	de	SPS00	de
voca	Vossa	DP2FPP	vosso
soenoria	Senhoria	NP00000	senhoria
com	com	SPS00	com
6	6	Z	6
ofecias	oficiais	NCMP000	oficial
	.	Fp	.
por	Por	SPS00	por
não	não	RN	não
ter	ter	VMN0000	ter
que	que	CS	que
comer	comer	VMN0000	comer
	,	Fc	,
pede	pede	VMIP3S0	pedir
deixe	deixe	VMSP0S0	deixar
continuar	continuar	VMN0000	continuar
sua	sua	DP3FS0	seu
orJanada	jornada	NCFS000	jornada
peLa	pela	SPS00+DA0FS0	por+o
Lagrima	lágrima	NCFS000	lágrima
S	Santa	NP00000	santa
Maria	Maria	NP00000	maria
Santisima	Santíssima	NP00000	santo
	,	Fc	,
peLa	pela	SPS00+DA0FS0	por+o
Saude	saúde	NCFS000	saúde
da	da	SPS00+DA0FS0	de+o
Fidalga	fidalga	NCFS000	fidalgo
que	que	PR0CN000	que
pedira	pedirá	VMIP3S0	pedirar
a	a	SPS00	a
Deos	Deus	NP00000	deus
peLa	pela	SPS00+DA0FS0	por+o
Sua	sua	DP3FS0	seu
vida	vida	NCFS000	vida
e	e	CC	e
Saude	saúde	NCFS000	saúde
	.	Fp	.
asim	Assim	RG	assim
espero	espero	VMIP1S0	esperar
resposta	resposta	NCFS000	resposta
	.	Fp	.
Sou	Sou	VSIP1S0	ser
de	de	SPS00	de
voca	Vossa	DP2FPP	vosso
Senoria	Senhoria	NP00000	senhoria
criado	criado	NCMS000	criado
	.	Fp	.
Pedirei	Pedirei	VMIF1S0	pedir
deos	Deus	NP00000	deus
aument	aumente	VMSP0S0	aumentar
os	os	DA0MP0	o
	...	Fs	...
isto	Isto	PD0NN000	isto
he	é	VSIP3S0	ser
feito	feito	VMP00SM	fazer
maL	mal	RG	mal
po	por	SPS00	por
Fr	Frei	NP00000	frei
Antonio	António	NP00000	antónio
de	de	SPS00	de
Sta	Santa	NP00000	santa
Anna	Ana	NP00000	ana
	,	Fc	,
etc	etc	NCMS000	etc
